system,order,num_pips,num_flat_exponents,jit,run,batch_size,run_per_sample,throughput
A2B2C,4,323,1001,2.0146265130024403,0.0056694524190388,16384,3.460359142479774e-7,2889873.4461515364
A2B2C,5,904,3003,1.9928950569592416,0.0000447420570999,1,0.0000447420570999,22350.33578734083
A2B2C,5,904,3003,1.9049624310573563,0.000195908677997,2,0.0000979543389985,10208.83822221462
A2B2C,5,904,3003,1.903569426969625,0.000197260654997,4,0.0000493151637492,20277.73860965432
A2B2C,5,904,3003,1.93367282289546,0.0001990493779303,8,0.0000248811722412,40191.03241206451
A2B2C,5,904,3003,1.9104694010457024,0.0002005909539293,16,0.0000125369346205,79764.3148236653
A2B2C,5,904,3003,1.927952064899728,0.0002419310769764,32,7.560346155514708e-6,132269.07596956717
A2B2C,5,904,3003,1.9217707170173528,0.000197048684,64,3.078885687500588e-6,324792.8313999183
A2B2C,5,904,3003,1.9178422919940203,0.0002901013520313,128,2.2664168127448647e-6,441225.1066867514
A2B2C,5,904,3003,1.95453913602978,0.0004257607450708,256,1.6631279104331045e-6,601276.6629234095
A2B2C,5,904,3003,1.9465876698959617,0.0007065299639943,512,1.37994133592656e-6,724668.4869603903
A2B2C,5,904,3003,1.9856096919393167,0.0013432917959289,1024,1.3118083944618774e-6,762306.4497999453
A2B2C,5,904,3003,1.9667459060437975,0.0023624154289718,2048,1.1535231586776717e-6,866909.339857848
A2B2C,5,904,3003,1.9606212129583585,0.0041253951110411,4096,1.0071765407815292e-6,992874.5949781948
A2B2C,5,904,3003,2.0268462219974026,0.0065751196210039,8192,8.026269068608372e-7,1245908.8917304191
A2B2C,5,904,3003,2.0440929669421166,0.012688965779962,16384,7.744730090308849e-7,1291200.5819948742
A2B2C,6,2304,8008,1.9982284759171307,0.0000492510030744,1,0.0000492510030744,20304.1549933137
A2B2C,6,2304,8008,1.921500822994858,0.0004510085670044,2,0.0002255042835022,4434.505564459049
A2B2C,6,2304,8008,1.9341403370490295,0.0004537384479772,4,0.0001134346119943,8815.651434944593
A2B2C,6,2304,8008,1.9547923780046403,0.0002424090359127,8,0.000030301129489,33002.070116233575
A2B2C,6,2304,8008,1.958168526994996,0.0002764780069701,16,0.0000172798754356,57870.78753692035
A2B2C,6,2304,8008,1.990435282001272,0.0002326962549705,32,7.271757967828308e-6,137518.3283635398
A2B2C,6,2304,8008,1.956123705022037,0.0003157918560318,64,4.934247750497888e-6,202665.1377404176
A2B2C,6,2304,8008,1.957034330931492,0.0004988373969681,128,3.897167163813719e-6,256596.64006339732
A2B2C,6,2304,8008,1.99308285699226,0.0010357666750205,256,4.045963574299094e-6,247159.91175803795
A2B2C,6,2304,8008,1.9890518139582127,0.0017946039080852,512,3.505085757979032e-6,285299.72418608714
A2B2C,6,2304,8008,2.019145986996591,0.0034384488340001,1024,3.3578601894532765e-6,297808.7066105093
A2B2C,6,2304,8008,2.013810565927997,0.0043656239889096,2048,2.1316523383347885e-6,469119.6505248053
A2B2C,6,2304,8008,2.034720320953056,0.008415417251992,4096,2.054545227537119e-6,486725.71749551967
A2B2C,6,2304,8008,2.107936421991326,0.0171531360319349,8192,2.0938886757733145e-6,477580.30862394354
A2B2C,6,2304,8008,2.1094134140294045,0.0343368967999704,16384,2.0957578613263197e-6,477154.3595056067
A2B2C,7,5416,19448,2.135925715905614,0.0000516139490064,1,0.0000516139490064,19374.607431714827
A2B2C,7,5416,19448,1.997138804057613,0.0002100759689928,2,0.0001050379844964,9520.365463922382
A2B2C,7,5416,19448,2.0397474910132587,0.0002100996109656,4,0.0000525249027414,19038.58832300762
A2B2C,7,5416,19448,1.973504915018566,0.0002158673260128,8,0.0000269834157516,37059.80033089941
A2B2C,7,5416,19448,1.9881895810831336,0.0002957458979217,16,0.0000184841186201,54100.496786042495
A2B2C,7,5416,19448,1.9939929350512104,0.0003499632850289,32,0.0000109363526571,91438.16328434076
A2B2C,7,5416,19448,1.9758677509380504,0.0006250187960686,64,9.765918688572128e-6,102396.92054472858
A2B2C,7,5416,19448,1.9897081200033424,0.0011299243840621,128,8.827534250485768e-6,113281.91674192272
A2B2C,7,5416,19448,1.983046307926997,0.0018670717850327,256,7.293249160284176e-6,137113.0998026997
A2B2C,7,5416,19448,1.983243732945993,0.0035999552060384,512,7.031162511793809e-6,142223.99188222963
A2B2C,7,5416,19448,2.018891536979936,0.0055451236880617,1024,5.415159851622775e-6,184666.75544219208
A2B2C,7,5416,19448,2.013630675035529,0.0101282297269208,2048,4.945424671348064e-6,202207.10382944968
A2B2C,7,5416,19448,2.0537413109559566,0.0206777738379314,4096,5.048284628401234e-6,198087.08771571284
A2B2C,7,5416,19448,2.101650889962912,0.0412943469290621,8192,5.040813834114033e-6,198380.6648903468
A2B2C,7,5416,19448,2.1423611489590257,0.0827606957480311,16384,5.051311996339792e-6,197968.3695492588
A2B2C,8,11910,43758,2.251086116069928,0.0000539222529623,1,0.0000539222529623,18545.21918247621
